,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_population,longitude,latitude
2668,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2033.0,-123.9538,44.4065
2669,1km,landslide,unknown,small,bluff,0.0,0.0,United Kingdom,0.0,-1.2781372770000001,50.73216095
2670,5km,landslide,downpour,medium,other,0.0,,Australia,12562.0,152.3855,-28.0605
2671,50km,landslide,rain,large,other,,,Malaysia,19294.0,116.5956,5.9975
2672,1km,mudslide,downpour,small,other,0.0,,United States,41114.0,-122.4242,37.6084
2673,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4584.0,-123.5446,44.42100000000001
2674,5km,landslide,unknown,medium,other,0.0,0.0,Malaysia,372917.0,102.0025,2.6985
2675,5km,landslide,downpour,medium,other,1.0,,India,4209.0,75.3278,33.1617
2676,10km,rock_fall,downpour,medium,other,1.0,,India,64457.0,74.2279,14.7822
2677,25km,landslide,downpour,medium,other,0.0,,India,33748.0,94.803,26.0814
2678,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4584.0,-123.5551,44.623999999999995
2679,exact,mudslide,rain,medium,above_road,0.0,0.0,United States,53007.0,-122.3856,47.7651
2680,5km,mudslide,downpour,medium,other,0.0,,Australia,6069.0,145.6841,-16.889
2681,exact,rock_fall,downpour,medium,bluff,0.0,0.0,Australia,6120.0,151.2694,-33.9096
2682,5km,rock_fall,unknown,medium,bluff,0.0,0.0,United States,4161.0,-117.2575,32.9129
2683,5km,landslide,downpour,medium,natural_slope,3.0,0.0,Italy,1548.0,12.2186,46.4891
2684,10km,landslide,continuous_rain,medium,other,1.0,1.0,Nepal,5427.0,82.5891,28.5237
2685,1km,landslide,downpour,small,above_road,0.0,0.0,United Kingdom,2894.0,0.4609,51.3734
2686,1km,landslide,rain,medium,other,,,Malaysia,1453975.0,101.711,3.2294
2687,1km,mudslide,downpour,small,deforested_slope,0.0,0.0,United States,1706.0,-82.6473,37.5715
2688,50km,mudslide,downpour,medium,other,0.0,,Canada,6145.0,-124.0862,48.4632
2689,5km,landslide,downpour,medium,other,,,Nepal,91733.0,83.4724,27.72
2690,25km,landslide,downpour,medium,above_road,0.0,0.0,India,92113.0,94.1318,25.7902
2691,5km,landslide,downpour,large,other,7.0,,Malaysia,366229.0,103.3724,3.8125
2692,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1795.0,-122.6318,43.2952
2693,25km,landslide,tropical_cyclone,medium,other,,,Philippines,15886.0,120.7783,16.8937
2694,5km,landslide,rain,medium,mine,8.0,0.0,Indonesia,0.0,106.5464,-6.6687
2696,10km,mudslide,downpour,medium,other,0.0,,Canada,7502.0,-115.5834,51.1881
2697,5km,landslide,rain,medium,other,,,United States,9477.0,-123.8215,46.1896
2698,50km,mudslide,rain,medium,above_road,0.0,0.0,Panama,918.0,-82.3808,9.2279
2699,5km,mudslide,downpour,medium,other,0.0,,United States,36619.0,-122.6629,45.4096
2700,5km,landslide,rain,medium,other,,,Turkey,8843.0,43.6143,37.2506
2701,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2151.0,-123.5096,45.934
2703,5km,mudslide,downpour,medium,other,0.0,,India,223523.0,93.4957,24.8961
2704,1km,mudslide,downpour,small,other,0.0,,United States,3944.0,-83.426,35.6024
2705,1km,landslide,rain,medium,other,0.0,,United States,5012.0,-75.7796,40.5238
2706,10km,debris_flow,downpour,small,other,0.0,,United States,1451.0,-107.6129,38.8815
2707,5km,landslide,downpour,medium,other,,,India,3596.0,88.3603,27.0377
2708,25km,landslide,downpour,unknown,other,0.0,0.0,United States,3976.0,-123.5888,46.8332
2709,5km,mudslide,downpour,small,above_road,0.0,0.0,United States,53007.0,-122.3786,47.7573
2710,5km,mudslide,downpour,small,other,0.0,,United States,13495.0,-122.3983,47.5455
2711,5km,landslide,rain,large,other,10.0,,Indonesia,134895.0,140.7058,-2.5338
2712,5km,landslide,construction,medium,other,,,Philippines,133148.0,123.8317,10.2669
2714,10km,landslide,downpour,small,urban,0.0,1.0,Philippines,22496.0,122.1009,13.9176
2715,5km,mudslide,downpour,medium,above_road,0.0,0.0,United States,1320.0,-108.0336,37.9979
2717,5km,landslide,downpour,medium,other,1.0,,Bhutan,2855.0,89.5744,27.044
2718,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1312.0,-123.927,45.6654
2719,50km,mudslide,downpour,medium,above_road,0.0,0.0,Kyrgyzstan,0.0,73.3757,40.247
2720,10km,landslide,tropical_cyclone,medium,other,7.0,,China,0.0,116.8552,24.9045
2721,1km,landslide,downpour,small,above_river,0.0,0.0,Georgia,0.0,41.9385,41.5951
2723,5km,mudslide,downpour,large,above_road,11.0,,Mexico,2968.0,-99.8654,19.1927
2724,5km,landslide,downpour,medium,other,0.0,,India,9106.0,74.9437,33.0165
2725,5km,mudslide,downpour,medium,other,0.0,,United States,1554.0,-81.5627,38.1721
2726,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2695.0,-122.2282,45.2122
2728,5km,mudslide,tropical_cyclone,medium,other,0.0,,Taiwan,0.0,120.7211,23.4367
2729,5km,debris_flow,downpour,medium,other,0.0,,United States,19653.0,-118.2242,34.2445
2730,5km,landslide,rain,medium,other,,,Malaysia,673318.0,101.0334,4.585
2731,5km,landslide,downpour,large,other,,,China,109400.0,103.71,27.33
2732,5km,landslide,downpour,medium,other,0.0,,India,20000.0,72.8929,19.1095
2733,10km,landslide,downpour,medium,other,4.0,,Nepal,1442271.0,85.1893,27.9358
2734,1km,mudslide,downpour,medium,other,0.0,,United States,4389.0,-83.6816,36.6015
2735,5km,mudslide,downpour,medium,other,0.0,,Uganda,0.0,34.3955,1.0585
2736,1km,mudslide,downpour,small,other,0.0,,United States,1305.0,-123.428,38.6929
2737,10km,landslide,downpour,small,other,0.0,,Philippines,2825.0,124.98100000000001,10.0884
2738,1km,landslide,downpour,small,other,0.0,,United States,5677.0,-80.138,40.521
2739,5km,landslide,continuous_rain,medium,other,2.0,0.0,Nepal,4000.0,85.6016,27.8953
2740,5km,landslide,downpour,medium,other,0.0,,India,8160.0,77.9258,31.2403
2741,25km,landslide,downpour,medium,other,,,Philippines,5344.0,124.8763,6.4564
2742,10km,mudslide,downpour,medium,above_road,0.0,0.0,United States,3890.0,-120.0968,47.7619
2743,50km,landslide,downpour,medium,other,1.0,,Indonesia,0.0,100.4419,-0.6409
2744,10km,landslide,downpour,medium,other,0.0,,India,13865.0,79.5192,30.6509
2745,1km,mudslide,downpour,medium,below_road,0.0,0.0,United States,39309.0,-94.02600000000001,44.1476
2746,5km,mudslide,rain,medium,other,2.0,,Indonesia,110155.0,106.8776,-6.5044
2747,5km,mudslide,flooding,small,other,,,United Kingdom,0.0,-2.68,51.84
2748,1km,mudslide,downpour,medium,other,0.0,,United States,7979.0,-111.2517,39.9638
2749,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4584.0,-123.4908,44.4721
2750,10km,landslide,rain,medium,above_road,0.0,0.0,United States,4688.0,-113.7718,48.7489
2751,25km,mudslide,downpour,medium,other,3.0,,Uganda,7914.0,29.984,0.1679
2752,1km,landslide,continuous_rain,medium,urban,0.0,1.0,India,77276.0,74.3279,34.2088
2753,10km,mudslide,rain,small,other,0.0,,Canada,0.0,-77.8416,72.6275
2754,5km,landslide,rain,medium,other,,,United States,1312.0,-123.9171,45.7204
2755,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1312.0,-123.9425,45.5701
2756,10km,landslide,downpour,small,other,0.0,,Australia,4284.0,150.6131,-34.1564
2757,1km,mudslide,rain,small,above_road,0.0,0.0,Canada,58549.0,-122.8714,49.2336
2758,1km,landslide,rain,small,other,7.0,0.0,India,55290.0,92.3576,24.8669
2760,50km,landslide,rain,medium,other,1.0,,India,92113.0,93.9136,25.7428
2761,5km,landslide,downpour,medium,other,,,Uganda,0.0,34.2544,1.0171
2762,5km,mudslide,downpour,medium,other,0.0,,United States,6432.0,-81.1194,37.3042
2764,5km,landslide,downpour,medium,other,0.0,,Brazil,6023699.0,-43.2631,-22.9529
2765,5km,mudslide,downpour,medium,other,0.0,,United States,2602.0,-106.3538,39.068000000000005
2766,25km,landslide,downpour,medium,above_road,0.0,0.0,Nepal,10109.0,88.0839,26.8366
2767,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1795.0,-122.6985,43.3283
2768,5km,landslide,downpour,large,other,9.0,,India,8708.0,79.7758,29.840999999999998
2769,1km,landslide,downpour,small,above_road,0.0,0.0,United States,1009.0,-80.4138,38.4807
2770,5km,landslide,rain,medium,other,,,Indonesia,276414.0,106.9516,-6.9031
2771,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2038.0,-121.8785,44.4217
2772,5km,landslide,downpour,small,other,0.0,,Australia,1639.0,152.6019,-27.4839
2773,25km,landslide,tropical_cyclone,small,other,0.0,0.0,Philippines,2261.0,123.9067,10.3026
2774,50km,mudslide,downpour,medium,mine,1.0,5.0,Philippines,3243.0,126.15138370000001,7.217953308999999
2775,10km,landslide,rain,medium,other,,,Japan,26163.0,130.5773,32.6457
2776,25km,landslide,downpour,medium,other,7.0,,Bangladesh,40557.0,92.22263842,20.92931962
2777,50km,mudslide,unknown,medium,other,7.0,,China,0.0,106.4167,23.1333
2778,1km,landslide,downpour,medium,other,0.0,,Philippines,0.0,124.3655,9.6514
2779,1km,landslide,unknown,medium,above_road,0.0,0.0,United States,305704.0,-79.9988,40.429
2780,5km,landslide,rain,medium,other,2.0,,Turkey,244083.0,39.7365,40.9792
2781,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1151.0,-123.6525,43.6691
2782,exact,mudslide,construction,medium,other,2.0,0.0,Nigeria,590400.0,7.4831,9.0925
2783,5km,mudslide,unknown,small,above_road,0.0,0.0,United States,2040.0,-157.7892,21.3684
2784,5km,landslide,unknown,medium,other,,,Nepal,9073.0,82.0446,29.4596
2785,1km,landslide,downpour,medium,other,0.0,,Indonesia,8540121.0,106.8099,-6.1984
2786,5km,landslide,downpour,medium,other,,,United States,466.0,-93.1774,35.9631
2788,50km,mudslide,tropical_cyclone,medium,other,2.0,,Taiwan,0.0,120.8922,24.5646
2789,5km,landslide,downpour,small,other,1.0,,India,43000.0,88.4674,27.0599
2790,10km,rock_fall,tropical_cyclone,medium,other,0.0,17.0,Taiwan,31288.0,120.7255,22.2841
2791,5km,landslide,unknown,medium,other,0.0,,United States,4154.0,-123.7967,43.6756
2792,50km,landslide,downpour,medium,other,10.0,,India,14711.0,74.3313,33.9659
2793,10km,rock_fall,continuous_rain,medium,other,0.0,,India,8341.0,77.1784,32.2338
2794,5km,landslide,downpour,small,other,0.0,,United States,17132.0,-124.0356,40.8421
2795,50km,landslide,rain,medium,other,,,Nepal,23693.0,83.529,27.9271
2796,25km,landslide,tropical_cyclone,medium,other,0.0,,Philippines,2261.0,123.42,9.8964
2797,10km,landslide,downpour,small,other,0.0,,Colombia,357814.0,-75.5082,5.0657
2798,5km,landslide,continuous_rain,medium,above_road,1.0,0.0,India,5963.0,92.7878,23.3572
2799,5km,landslide,rain,medium,other,2.0,,Nepal,23693.0,83.4643,27.8173
2800,5km,mudslide,downpour,small,above_road,0.0,0.0,United States,2826.0,-122.3263,47.8961
2801,25km,landslide,downpour,medium,other,0.0,,Kenya,10116.0,34.8078,-0.3536
2802,5km,landslide,downpour,medium,above_road,,,India,92113.0,94.11603493,25.61560252
2803,5km,mudslide,rain,small,above_road,0.0,0.0,Canada,9813.0,-117.4965,49.4635
2804,5km,complex,downpour,large,other,0.0,,Brazil,123979.0,-43.0072,-22.3998
2805,10km,landslide,downpour,medium,other,2.0,,Nepal,107157.0,84.37740614,28.01031874
2806,25km,landslide,downpour,medium,other,0.0,,India,33748.0,94.8833,26.4333
2807,5km,debris_flow,downpour,medium,other,,,New Zealand,50900.0,174.3227,-35.7229
2808,5km,landslide,tropical_cyclone,medium,urban,1.0,0.0,Philippines,2126.0,120.68700000000001,16.8237
2809,50km,landslide,tropical_cyclone,medium,other,0.0,0.0,Philippines,2361.0,119.939,11.8895
2810,25km,mudslide,downpour,medium,other,2.0,,China,0.0,118.512,28.9012
2811,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1312.0,-123.8857,45.7062
2812,25km,mudslide,downpour,medium,other,0.0,0.0,Kyrgyzstan,0.0,74.4438,41.7246
2813,5km,mudslide,downpour,small,other,0.0,,United States,103019.0,-122.2136,47.9933
2814,1km,mudslide,downpour,medium,other,0.0,0.0,Kyrgyzstan,15226.0,75.8147,41.1746
2815,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2043.0,-118.9699,45.8859
2816,5km,mudslide,rain,medium,other,0.0,,United States,4885.0,-109.3279,33.6423
2817,5km,mudslide,rain,small,other,,,United States,371657.0,-157.829,21.3131
2819,5km,landslide,downpour,medium,other,0.0,,Philippines,798634.0,123.8789,10.3315
2820,5km,debris_flow,downpour,medium,other,0.0,,United States,9796.0,-111.7471,40.4336
2823,10km,mudslide,downpour,medium,other,,,United States,2301.0,-85.521,34.8695
2824,10km,landslide,rain,medium,burned_area,8.0,,Colombia,2214.0,-75.52,7.16
2825,5km,landslide,downpour,medium,above_road,0.0,0.0,India,2571.0,79.0479,30.6838
2826,50km,complex,downpour,medium,other,8.0,,Panama,6123.0,-82.344,8.787
2827,10km,landslide,downpour,medium,other,0.0,,Indonesia,0.0,107.9547,-7.3411
2828,5km,landslide,tropical_cyclone,medium,other,0.0,2.0,Mexico,3746.0,-98.1993,20.1544
2830,1km,landslide,unknown,large,above_road,0.0,0.0,United States,6606.0,-122.2674,47.2549
2831,1km,landslide,downpour,medium,other,0.0,,United States,20646.0,-122.8089,45.6182
2832,exact,landslide,downpour,small,other,0.0,,United States,5918.0,-71.2165,42.1433
2833,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1795.0,-122.8967,43.2987
2834,1km,landslide,downpour,small,other,0.0,,Brunei,64409.0,115.0182,4.9726
2835,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2038.0,-121.9542,44.4387
2836,25km,landslide,mining,small,mine,8.0,3.0,Honduras,75872.0,-87.0325,13.2875
2837,5km,landslide,downpour,medium,other,0.0,,Australia,18593.0,150.314,-33.7341
2838,10km,landslide,downpour,medium,other,0.0,,Philippines,9652.0,123.8131,10.294
2839,5km,landslide,downpour,medium,above_road,,,Nepal,107157.0,84.67982275,27.81229512
2840,10km,mudslide,downpour,medium,other,,,Tajikistan,37995.0,68.214,38.533
2841,5km,landslide,monsoon,medium,other,1.0,,India,11248.0,76.9346,9.8957
2842,5km,landslide,unknown,small,above_road,0.0,0.0,United States,1432.0,-79.8801,40.481
2843,5km,debris_flow,rain,medium,other,,,India,6133.0,88.4909,27.2084
2844,1km,mudslide,downpour,large,above_road,0.0,0.0,United States,46361.0,-117.8879,34.1469
2845,50km,landslide,downpour,medium,other,0.0,,Azerbaijan,8657.0,45.8107,40.57
2846,10km,landslide,downpour,medium,other,,,India,29602.0,75.9957,11.4816
2847,10km,landslide,downpour,medium,other,0.0,,Canada,21150.0,-124.3964,49.3566
2849,25km,landslide,downpour,large,other,,,Tajikistan,11705.0,70.44,40.75
2850,10km,landslide,downpour,small,other,0.0,,United States,70285.0,-121.9157,37.6456
2851,5km,landslide,rain,small,other,,,United States,9520.0,-109.8662,44.4659
2852,25km,mudslide,downpour,medium,other,4.0,,China,0.0,109.0559,35.9672
2853,5km,landslide,rain,medium,other,,,Indonesia,276414.0,106.8762,-6.9092
2854,5km,landslide,downpour,medium,other,0.0,1.0,Japan,22997.0,130.6,31.808000000000003
2855,10km,mudslide,rain,medium,above_road,0.0,0.0,United States,5614.0,-82.7256,36.9186
2856,5km,landslide,downpour,medium,other,0.0,,Sri Lanka,47587.0,81.0714,7.2753
2857,50km,mudslide,downpour,medium,other,3.0,,Indonesia,0.0,104.7608,-5.516
2859,10km,landslide,downpour,medium,other,0.0,,India,17123.0,78.4151,30.965999999999998
2860,1km,landslide,downpour,large,other,0.0,,Trinidad and Tobago,15067.0,-61.2984,10.7901
2861,5km,landslide,rain,medium,other,0.0,,Sri Lanka,1214.0,80.3019,7.2558
2862,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,9253.0,-120.3381,44.5498
2863,5km,landslide,downpour,medium,other,0.0,,Guatemala,2121.0,-91.5168,15.2164
2865,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2038.0,-121.8784,44.4216
2866,5km,mudslide,downpour,small,above_road,0.0,0.0,United States,198397.0,-122.4471,47.2671
2867,10km,debris_flow,downpour,medium,above_road,0.0,0.0,United States,2369.0,-132.3459,56.2908
2868,5km,landslide,continuous_rain,small,other,0.0,0.0,United States,1097.0,-69.6188,44.0765
2869,1km,landslide,rain,small,other,0.0,0.0,India,2000.0,91.7548,26.1314
2870,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,6457.0,-123.9245,45.9607
2871,50km,landslide,rain,medium,other,2.0,,Nepal,22903.0,87.2167,27.3667
2872,10km,landslide,unknown,small,above_road,0.0,0.0,United Kingdom,11000.0,0.1292,51.4914
2873,1km,landslide,tropical_cyclone,small,below_road,0.0,,Canada,16738.0,-73.4378,45.9145
2874,exact,landslide,unknown,small,natural_slope,0.0,0.0,United States,31859.0,-122.5794,45.333999999999996
2875,5km,rock_fall,unknown,medium,natural_slope,0.0,0.0,United States,16887.0,-107.8751,37.2821
2876,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,15962.0,-122.3716,45.5353
2877,5km,mudslide,downpour,medium,other,0.0,,United States,53104.0,-117.1935,34.1407
2879,50km,landslide,rain,medium,other,,,China,0.0,106.7588,34.3752
2880,5km,landslide,tropical_cyclone,medium,other,,,United States,20313.0,-79.8666,40.3647
2881,10km,landslide,downpour,medium,other,0.0,,Costa Rica,4185.0,-85.0141,10.8916
2882,5km,mudslide,rain,small,other,0.0,,United States,1191.0,-120.9174,46.8077
2883,5km,landslide,downpour,medium,other,0.0,,Philippines,272714.0,120.5876,16.4003
2884,10km,landslide,downpour,small,other,0.0,,United States,1113.0,-74.8163,42.5435
2885,5km,landslide,downpour,medium,other,13.0,0.0,India,28197.0,74.3723,33.5405
2886,1km,landslide,mining,small,other,0.0,4.0,India,8330.0,74.2197,15.7051
2887,10km,landslide,downpour,medium,other,0.0,,Philippines,13006.0,123.51100000000001,10.717
2888,10km,landslide,continuous_rain,small,above_road,0.0,0.0,Nepal,107157.0,84.8051,27.8126
2889,10km,rock_fall,unknown,medium,above_road,0.0,0.0,Nepal,18317.0,80.5547,29.8587
2890,5km,landslide,rain,medium,other,2.0,6.0,Nepal,9073.0,82.2494,28.9446
2891,25km,landslide,downpour,medium,other,0.0,,India,17123.0,78.4401,30.7332
2892,5km,mudslide,unknown,small,other,,,Canada,2324.0,-121.58,50.23
2893,1km,mudslide,downpour,medium,other,0.0,,Venezuela,52564.0,-66.9425,10.5259
2894,5km,mudslide,downpour,medium,above_road,0.0,0.0,United States,1320.0,-108.0294,37.9948
2895,50km,landslide,unknown,unknown,above_road,0.0,0.0,Philippines,2335.0,125.0573,7.6167
2896,1km,mudslide,downpour,medium,other,0.0,,United States,1150.0,-83.0946,35.525999999999996
2897,10km,landslide,rain,medium,above_road,0.0,0.0,Panama,0.0,-82.4569,8.7463
2898,50km,complex,downpour,medium,other,10.0,,Pakistan,279914.0,72.3183,34.8685
2900,5km,landslide,continuous_rain,medium,other,0.0,0.0,Philippines,2077.0,126.1696,9.234
2901,25km,other,monsoon,medium,above_road,0.0,0.0,Philippines,0.0,120.6158,16.3105
2902,1km,landslide,downpour,medium,other,0.0,,Trinidad and Tobago,8140.0,-61.5636,10.6963
2904,25km,landslide,rain,medium,other,,,Vietnam,152200.0,106.7361,10.7069
2905,1km,landslide,unknown,large,other,0.0,0.0,India,34021.0,94.4922,26.1699
2906,25km,debris_flow,rain,medium,other,0.0,,Switzerland,2665.0,7.5449,46.1905
2907,5km,landslide,downpour,medium,other,0.0,,Norway,0.0,10.1348,63.3783
2908,50km,landslide,downpour,medium,other,,,India,59841.0,94.1167,27.2333
2909,5km,rock_fall,downpour,medium,other,0.0,,Ireland,2273.0,-7.1531,52.5391
2910,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1795.0,-122.53299999999999,43.2984
2911,exact,landslide,earthquake,medium,above_river,1.0,0.0,Pakistan,2005.0,74.6712,36.3079
2912,10km,rock_fall,rain,small,above_road,0.0,2.0,Philippines,9652.0,123.8257,10.2813
2913,5km,landslide,unknown,medium,other,0.0,,United States,3532.0,-124.456,48.3184
2914,5km,other,downpour,medium,mine,4.0,0.0,Myanmar [Burma],90894.0,96.3005,25.6172
2915,1km,landslide,tropical_cyclone,small,other,0.0,,United Kingdom,1859.0,-4.8899,55.8686
2916,50km,landslide,downpour,medium,other,,,Ecuador,117796.0,-79.205,-3.99
2917,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2151.0,-123.5356,45.897
2918,5km,mudslide,downpour,large,other,5.0,,Brazil,123979.0,-42.9705,-22.4115
2919,50km,landslide,rain,medium,other,,,India,25000.0,92.6921,24.1293
2920,1km,mudslide,downpour,medium,other,0.0,,United States,1779.0,-81.94200000000001,37.7811
2921,5km,landslide,rain,medium,other,5.0,,Indonesia,43756.0,110.8667,-6.7333
2922,5km,landslide,continuous_rain,medium,above_road,0.0,0.0,United States,4584.0,-123.4802,44.4722
2923,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2344.0,-122.8697,45.9817
2924,1km,mudslide,downpour,medium,other,0.0,,United States,14206.0,-115.5605,43.4026
2925,1km,landslide,continuous_rain,medium,other,0.0,0.0,Malaysia,63869.0,100.29299999999999,6.4123
2926,10km,landslide,rain,small,other,0.0,,United States,3364.0,-90.9836,39.4052
2927,5km,mudslide,continuous_rain,large,above_road,0.0,0.0,United States,6362.0,-116.9765,34.0548
2928,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1286.0,-123.8923,45.5598
2929,exact,landslide,downpour,small,other,0.0,,United States,44199.0,-116.9435,33.8071
2930,1km,landslide,downpour,medium,other,0.0,,Indonesia,0.0,107.8832,-7.0643
2931,50km,complex,rain,medium,other,2.0,,Taiwan,0.0,121.1571,22.9798
2932,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,9253.0,-120.3635,44.5276
2933,5km,landslide,rain,medium,other,,,United Kingdom,60000.0,-0.1595,51.4942
2934,25km,landslide,rain,medium,below_road,,,India,223523.0,94.0144205,25.03561729
2935,5km,landslide,rain,small,other,,,United States,4407.0,-84.5657,39.1072
2937,5km,mudslide,downpour,small,other,0.0,,United States,105328.0,-117.2892,33.1466
2938,5km,landslide,continuous_rain,medium,above_road,0.0,0.0,India,2571.0,78.9014,30.2411
2939,50km,landslide,downpour,medium,other,,,India,7317.0,75.1793,33.3018
2940,25km,mudslide,downpour,medium,other,0.0,,Japan,24597.0,132.2294,34.9769
2941,50km,debris_flow,downpour,medium,burned_area,0.0,0.0,United States,2552.0,-119.9688,48.3729
2942,10km,landslide,monsoon,medium,other,,,Sri Lanka,47587.0,81.0473,6.9935
2943,25km,landslide,downpour,small,other,0.0,,Philippines,0.0,121.0046,16.7221
2944,1km,rock_fall,unknown,small,above_road,0.0,0.0,United States,88328.0,-111.6581,40.2938
2945,25km,landslide,rain,medium,other,,,Philippines,2829.0,126.3173,6.9898
2946,10km,mudslide,downpour,medium,other,0.0,,Ireland,1297.0,-8.722000000000001,54.7111
2947,1km,landslide,unknown,small,above_road,0.0,0.0,United States,90927.0,-122.2039,47.4728
2948,25km,landslide,downpour,medium,other,0.0,,Nepal,200000.0,83.7843,28.2649
2949,5km,landslide,unknown,small,above_road,0.0,0.0,Bulgaria,4360.0,23.2389,42.7235
2950,25km,landslide,downpour,medium,other,5.0,,China,0.0,104.7281,27.124000000000002
2951,25km,debris_flow,tropical_cyclone,medium,above_road,0.0,0.0,Philippines,11742.0,120.8222,16.8052
2952,10km,landslide,rain,medium,other,0.0,,Pakistan,236093.0,70.6369,30.055999999999997
2954,1km,mudslide,rain,medium,other,0.0,,South Africa,6922.0,18.3629,-34.0496
2955,1km,landslide,downpour,medium,other,0.0,,Trinidad and Tobago,17000.0,-60.7428,11.2246
2956,5km,landslide,downpour,medium,other,,,India,92113.0,94.1884,25.3833
2957,5km,mudslide,rain,small,above_road,0.0,0.0,United States,416427.0,-104.8618,38.8416
2958,25km,landslide,rain,large,other,7.0,,Turkey,644763.0,40.2306,37.9152
2959,25km,landslide,downpour,medium,other,0.0,,India,17123.0,78.7756,30.9015
2960,50km,landslide,downpour,medium,other,4.0,,China,63569.0,104.5333,22.8833
2961,exact,mudslide,downpour,small,other,0.0,0.0,United Kingdom,2755.0,1.4366,52.8792
2962,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4154.0,-124.1228,43.7506
2963,50km,landslide,downpour,medium,other,0.0,,Sri Lanka,25775.0,80.7354,7.0808
2964,5km,landslide,rain,small,other,,,United States,13177.0,-158.121,21.462
2965,1km,landslide,downpour,medium,other,0.0,,United States,3330.0,-80.0595,40.448
2967,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2695.0,-122.3438,45.3
2969,1km,landslide,continuous_rain,medium,above_road,0.0,0.0,India,17516.0,91.7042,26.1666
2970,5km,mudslide,tropical_cyclone,medium,other,1.0,,Taiwan,7871900.0,121.55,25.15
2971,25km,rock_fall,unknown,medium,above_road,0.0,0.0,United States,1021.0,-104.8122,36.5499
2972,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2151.0,-123.5045,45.9126
2973,5km,landslide,downpour,medium,other,0.0,,Colombia,86387.0,-73.0021,6.905
2974,25km,landslide,downpour,large,other,0.0,,Malaysia,19294.0,116.6733,5.9521
2975,5km,landslide,downpour,medium,other,0.0,,Trinidad and Tobago,17000.0,-60.7195,11.2434
2976,25km,landslide,downpour,small,other,0.0,,Trinidad and Tobago,4342.0,-61.6002,10.6871
2978,50km,rock_fall,snowfall_snowmelt,medium,above_road,2.0,20.0,France,1073.0,6.699,43.9585
2979,5km,landslide,unknown,small,other,0.0,0.0,United Kingdom,1878.0,-3.0706,50.7043
2981,1km,landslide,downpour,small,above_road,0.0,0.0,United States,1502.0,-116.6468,33.098
2983,5km,landslide,rain,medium,other,,,India,2000.0,79.3158,30.3642
2984,1km,mudslide,tropical_cyclone,small,above_road,0.0,0.0,Guatemala,67994.0,-90.53,14.5572
2986,5km,landslide,downpour,large,above_river,0.0,0.0,Nepal,22903.0,87.6909,27.4159
2987,1km,mudslide,rain,small,natural_slope,0.0,0.0,United States,1035.0,-122.363,47.9896
2988,25km,landslide,downpour,medium,other,1.0,,Nepal,10000.0,85.35,27.5
2989,10km,landslide,tropical_cyclone,medium,above_road,0.0,0.0,Philippines,2842.0,120.9099,16.9433
2990,25km,mudslide,rain,medium,above_road,0.0,0.0,United States,20254.0,-122.3152,47.9194
2991,5km,landslide,unknown,medium,above_road,0.0,0.0,India,17748.0,75.4481,33.1261
2992,1km,landslide,downpour,small,other,0.0,,Nepal,0.0,85.4279,27.7165
2993,5km,landslide,continuous_rain,medium,above_road,0.0,2.0,Italy,1773.0,8.1243,43.9266
2994,25km,landslide,unknown,medium,other,,,India,33748.0,94.7031,26.0977
2995,50km,landslide,rain,medium,other,0.0,,Bosnia and Herzegovina,6783.0,18.6599,44.1799
2996,10km,landslide,downpour,large,other,15.0,,India,47571.0,80.2098,29.5885
2998,10km,landslide,rain,medium,above_road,5.0,6.0,Nepal,44632.0,85.1287,27.8569
2999,10km,landslide,downpour,medium,other,0.0,,India,35021.0,77.582,10.2462
3000,5km,landslide,downpour,medium,other,0.0,,Philippines,15632.0,125.01,10.71
3001,5km,landslide,tropical_cyclone,medium,other,0.0,0.0,Philippines,3552.0,126.0509,7.8471
