,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_population,longitude,latitude
88,5km,mudslide,downpour,small,other,0.0,,Canada,66450.0,-122.8001,49.0229
90,10km,mudslide,rain,small,other,0.0,,United States,3801.0,-107.1291,39.4274
91,10km,mudslide,rain,small,other,0.0,,United States,9614.0,-107.2225,39.4977
92,5km,landslide,downpour,medium,other,7.0,,Nepal,5427.0,82.6474,28.3875
94,10km,landslide,downpour,medium,other,0.0,,Philippines,798634.0,123.89,10.37
95,10km,landslide,downpour,medium,other,0.0,,Philippines,48638.0,123.91,10.42
97,10km,landslide,downpour,large,other,,,United States,2514.0,-124.01,42.9744
98,1km,landslide,downpour,medium,other,,,India,2467.0,77.1029,31.0226
99,10km,landslide,downpour,large,other,20.0,,India,1464.0,88.556,27.8385
100,10km,landslide,downpour,large,other,,,India,1464.0,88.605,27.6558
103,5km,landslide,rain,medium,other,,,Trinidad and Tobago,0.0,-60.55,11.3169
105,5km,landslide,downpour,medium,other,0.0,,Panama,3302.0,-79.8897,9.3381
106,5km,landslide,downpour,medium,other,0.0,,Panama,76643.0,-79.9029,9.3581
107,50km,landslide,rain,medium,other,0.0,,India,27611.0,78.3881,30.4954
108,50km,landslide,rain,medium,other,0.0,,India,17123.0,78.6695,30.885
109,50km,landslide,rain,medium,other,0.0,,India,7331.0,80.417,29.7986
111,5km,mudslide,downpour,medium,other,0.0,,Canada,9813.0,-116.9044,50.0023
115,25km,landslide,unknown,medium,other,0.0,,Nepal,0.0,82.1847,28.4311
116,50km,mudslide,rain,medium,other,0.0,,India,92113.0,93.9413,25.7658
117,25km,landslide,unknown,medium,other,0.0,,Nepal,0.0,82.4393,28.6202
118,50km,mudslide,rain,medium,other,0.0,,India,92113.0,94.0885,25.7131
119,5km,landslide,rain,medium,other,0.0,,Philippines,798634.0,123.88799999999999,10.329
121,10km,landslide,rain,medium,other,1.0,1.0,Austria,8818.0,12.3966,47.446000000000005
122,1km,landslide,rain,medium,urban,0.0,0.0,Mexico,1173.0,-117.0898,32.5196
253,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2344.0,-122.87700000000001,45.9951
272,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4584.0,-123.5552,44.623999999999995
286,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,3465.0,-123.7784,44.6394
363,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,682.0,-120.1971,45.4563
435,1km,landslide,downpour,medium,bluff,0.0,0.0,United Kingdom,2565.0,0.8546,51.4216
436,5km,landslide,unknown,medium,above_road,0.0,0.0,United States,2783.0,-120.7215,38.201
437,1km,landslide,continuous_rain,medium,natural_slope,0.0,0.0,India,14965.0,74.4725,34.1587
438,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2033.0,-123.9539,44.4065
439,1km,landslide,downpour,small,above_road,0.0,0.0,United States,20292.0,-116.9029,33.0742
440,25km,landslide,rain,medium,above_road,0.0,0.0,Mexico,19092.0,-92.2523,15.3482
441,50km,landslide,rain,medium,other,2.0,0.0,Philippines,6508.0,125.1335,7.7211
442,5km,landslide,continuous_rain,medium,other,0.0,0.0,El Salvador,7358.0,-89.7739,13.7895
443,50km,landslide,monsoon,medium,other,1.0,,Thailand,78756.0,99.7817,19.9282
444,5km,landslide,rain,medium,other,3.0,,China,265846.0,111.2768,23.4946
445,5km,landslide,downpour,medium,other,0.0,,Colombia,179583.0,-75.6621,4.8349
446,1km,landslide,downpour,small,other,0.0,,United States,5955.0,-84.4953,39.1075
447,25km,landslide,downpour,medium,other,0.0,,Jamaica,1119.0,-76.4394,18.0083
448,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1045.0,-122.5279,44.1316
449,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1855.0,-122.4891,44.7573
450,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1855.0,-122.2336,44.7099
